id,ax,ay,az
200,15.128,-18.056,998.448
201,12.2,-17.568,996.984
202,16.592,-19.52,1001.376
203,12.688,-14.152,1001.376
204,15.128,-14.64,1001.864
205,14.64,-16.592,1003.816
206,14.152,-15.128,1001.376
207,16.592,-16.104,1004.792
208,13.664,-14.64,1001.864
209,17.568,-16.592,1004.304
210,15.128,-15.128,1000.888
211,17.08,-14.152,1000.888
212,15.128,-18.056,999.424
213,17.08,-15.616,1001.376
214,11.712,-14.152,1002.352
215,13.664,-17.08,998.448
216,15.616,-17.568,998.448
217,14.152,-15.616,1003.328
218,15.616,-15.616,1002.84
219,11.224,-14.152,998.936
220,15.128,-17.568,1001.864
221,18.544,-15.128,1002.84
222,16.592,-15.128,1003.816
223,14.152,-15.128,998.936
224,13.664,-15.128,999.912
225,15.616,-18.056,999.424
226,14.152,-16.104,1000.4
227,15.616,-15.128,999.912
228,15.128,-15.128,1002.84
229,13.664,-14.64,1002.352
230,11.224,-16.592,1001.376
231,16.104,-14.152,1003.816
232,14.152,-16.592,1002.84
233,17.08,-17.568,1001.376
234,13.664,-18.056,1004.792
235,11.712,-19.032,1006.256
236,12.688,-18.056,1000.4
237,12.688,-18.056,996.984
238,15.128,-17.08,1002.352
239,15.128,-19.52,1001.376
240,16.104,-18.056,1001.864
241,10.248,-14.64,1002.352
242,12.2,-18.056,999.912
243,15.616,-18.056,1000.888
244,14.64,-14.64,1000.888
245,13.176,-15.128,999.912
246,12.2,-17.08,1002.352
247,13.176,-16.592,1002.84
248,12.688,-16.104,1001.376
249,14.152,-20.984,999.424
250,14.152,-17.568,997.96
251,14.64,-14.64,1002.84
252,14.152,-19.52,1004.304
253,10.736,-21.472,1003.816
254,11.224,-16.592,1000.888
255,12.2,-15.616,1000.4
256,12.2,-13.664,1001.864
257,16.592,-15.616,999.424
258,11.224,-14.64,1004.792
259,8.784,-18.544,1002.84
260,12.2,-20.496,1001.864
261,14.64,-18.056,998.936
262,13.176,-19.032,999.912
263,15.128,-18.056,998.936
264,11.712,-16.592,1002.352
265,11.712,-15.616,1000.4
266,15.128,-17.08,998.936
267,13.176,-20.496,997.472
268,11.224,-15.128,998.936
269,9.272,-14.152,1000.4
270,15.128,-15.128,1001.864
271,10.248,-15.616,1004.304
272,10.736,-18.056,1003.816
273,11.712,-12.688,1003.816
274,9.76,-15.128,997.472
275,11.224,-19.52,1000.888
276,10.248,-17.568,1003.328
277,13.176,-18.056,1005.28
278,12.2,-11.224,1003.328
279,17.08,-14.64,997.472
280,11.224,-15.128,996.008
281,10.248,-13.664,998.448
282,10.248,-14.64,1000.888
283,15.128,-16.592,1000.4
284,12.2,-12.688,998.448
285,12.2,-16.104,999.912
286,12.2,-14.64,999.912
287,10.248,-14.64,999.912
288,12.2,-12.688,1002.84
289,11.712,-14.152,1004.304
290,11.224,-13.176,1003.328
291,7.808,-17.568,1000.4
292,13.664,-14.152,996.984
293,13.176,-14.64,998.936
294,11.712,-16.104,1000.4
295,14.64,-17.568,1002.352
296,14.152,-16.592,1003.816
297,12.2,-16.592,1002.352
298,14.152,-13.176,999.424
299,13.664,-16.592,997.96
300,12.688,-14.152,999.424
301,13.664,-16.104,1000.4
302,14.64,-13.664,1002.84
303,14.152,-18.056,1002.352
304,10.736,-15.616,1001.376
305,13.664,-14.64,999.424
306,11.224,-15.616,998.448
307,18.056,-16.592,1000.4
308,13.664,-13.176,1003.328
309,9.76,-15.616,1000.888
310,16.592,-14.64,1002.352
311,11.224,-18.056,1001.864
312,12.688,-12.688,1002.352
313,12.2,-15.128,1001.864
314,16.104,-13.176,1001.864
315,15.128,-18.056,1004.792
316,14.64,-15.616,1001.376
317,14.64,-14.64,1002.352
318,14.64,-16.104,1002.352
